acsName,realName
"NAME","countyName"
"zip_code_tabulation_area","zipcode"
"B01001_001E","Total_Pop"
"B01002_001E","Median_Age"
"B01002_002E","Median_Age_Male"
"B01002_003E","Median_Age_Fem"
"B01003_001E","Population"
"B19013_001E","Median_HH_Income"
"B20017_001E","Median_Income"
"B02001_001E","Race_Total"
"B02001_002E","White_Total"
"B01001_002E","Male_Total"
"B01001_026E","Fem_Total"
"B20017_002E","Median_Income_Male"
"B20017_005E","Median_Income_Fem"
"B03002_001E","Total_HispRace"
"B03002_002E","NH_Total"
"B03002_003E","NH_White"
"B03002_004E","NH_Black"
"B03002_006E","NH_Asian"
"B03002_012E","Hisp_Latin"
"B15003_022E","Bachelors"
"B15003_023E","Masters"
"B15003_024E","Professional"
"B15003_025E","Doctorate"
"B15003_001E","Total_EducPop"
"B08201_007E","HH1pers"
"B08201_013E","HH2pers"
"B08201_019E","HH3pers"
"B08201_025E","HH4plus"
